// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
510.386.104;Marco balconera 3 SA High-Design Slide Bco-Nog/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Nog/Bco;6.2
510.386.081;Marco balconera 3 SA High-Design Slide Mar-Ant L/Ant L Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Ant L/Ant L;6.2
510.386.082;Marco balconera 3 SA High-Design Slide Bco-Bco/Ant L Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Ant L;6.2
510.386.083;Marco balconera 3 SA High-Design Slide Bco-Ant L/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Ant L/Bco;6.2
510.386.084;Marco balconera 3 SA High-Design Slide Mar-B.Brow/B.Brow Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-B.Brow/B.Brow;6.2
510.386.085;Marco balconera 3 SA High-Design Slide Bco-Bco/B.Brow Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/B.Brow;6.2
510.386.086;Marco balconera 3 SA High-Design Slide Bco-B.Brow/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-B.Brow/Bco;6.2
510.386.117;Marco balconera 3 SA High-Design Slide Mar-Win/Win Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Win/Win;6.2
510.386.118;Marco balconera 3 SA High-Design Slide Bco-Bco/Win Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Win;6.2
510.386.119;Marco balconera 3 SA High-Design Slide Bco-Win/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Win/Bco;6.2
510.386.094;Marco balconera 3 SA High-Design Slide Mar-Mon/Mon Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Mon/Mon;6.2
510.386.095;Marco balconera 3 SA High-Design Slide Bco-Bco/Mon Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Mon;6.2
510.386.096;Marco balconera 3 SA High-Design Slide Bco-Mon/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Mon/Bco;6.2
510.386.097;Marco balconera 3 SA High-Design Slide Mar-Negro M./Negro M. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Negro M./Negro M.;6.2
510.386.099;Marco balconera 3 SA High-Design Slide Bco-Bco/Negro M. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Negro M.;6.2
510.386.100;Marco balconera 3 SA High-Design Slide Bco-Negro M./Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Negro M./Bco;6.2
510.386.111;Marco balconera 3 SA High-Design Slide Mar-Turn/Turn Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Turn/Turn;6.2
510.386.112;Marco balconera 3 SA High-Design Slide Bco-Bco/Turn Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Turn;6.2
510.386.113;Marco balconera 3 SA High-Design Slide Bco-Turn/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Turn/Bco;6.2
510.386.108;Marco balconera 3 SA High-Design Slide Bco-Sheff A./Sheff A. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Sheff A./Sheff A.;6.2
510.386.109;Marco balconera 3 SA High-Design Slide Bco-Bco/Sheff A. Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Sheff A.;6.2
510.386.110;Marco balconera 3 SA High-Design Slide Bco-Sheff A./Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Sheff A./Bco;6.2
510.386.091;Marco balconera 3 SA High-Design Slide Mar-Hab/Hab Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Hab/Hab;6.2
510.386.092;Marco balconera 3 SA High-Design Slide Bco-Bco/Hab Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Hab;6.2
510.386.093;Marco balconera 3 SA High-Design Slide Bco-Hab/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Hab/Bco;6.2
510.386.114;Marco balconera 3 SA High-Design Slide Mar-Tit/Tit Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Mar-Tit/Tit;6.2
510.386.115;Marco balconera 3 SA High-Design Slide Bco-Bco/Tit Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Tit;6.2
510.386.116;Marco balconera 3 SA High-Design Slide Bco-Tit/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Tit/Bco;6.2
510.386.128;Marco balconera 3 SA High-Design Slide Mar-Ant M/Ant MPres. 6,2 m.;Marco balconera;;;6.2
510.386.129;Marco balconera 3 SA High-Design Slide Bco-Bco/Ant M Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Ant M;6.2
510.386.130;Marco balconera 3 SA High-Design Slide Bco-Ant M/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Ant M/Bco;6.2
510.386.101;Marco balconera 3 SA High-Design Slide Mar-Black S/Black SPres. 6,2 m.;Marco balconera;;;6.2
510.386.131;Marco balconera 3 SA High-Design Slide Bco-Bco/Black S Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Black S;6.2
510.386.132;Marco balconera 3 SA High-Design Slide Bco-Black S/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Black S/Bco;6.2
510.386.120;Marco balconera 3 SA High-Design Slide Mar-Nut/NutPres. 6,2 m.;Marco balconera;;;6.2
510.386.122;Marco balconera 3 SA High-Design Slide Bco-Bco/Nut Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Nut;6.2
510.386.123;Marco balconera 3 SA High-Design Slide Bco-Nut/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Nut/Bco;6.2
510.386.124;Marco balconera 3 SA High-Design Slide Mar-Qrz/QrzPres. 6,2 m.;Marco balconera;;;6.2
510.386.125;Marco balconera 3 SA High-Design Slide Bco-Bco/Qrz Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Bco/Qrz;6.2
510.386.127;Marco balconera 3 SA High-Design Slide Bco-Qrz/Bco Pres. 6,2 m.;Marco balconera;;SA High-Design Slide Bco-Qrz/Bco;6.2
500.486.100;Hoja balconera SA High-Design Slide Blanco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Blanco Pres.;;;5.8
510.486.077;Hoja balconera SA High-Design Slide Mar-Rob/Rob Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Rob/Rob Pres.;;;5.8
510.486.068;Hoja balconera SA High-Design Slide Bco-Bco/Rob Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Rob Pres.;;;5.8
510.486.069;Hoja balconera SA High-Design Slide Bco-Rob/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Rob/Bco Pres.;;;5.8
510.486.062;Hoja balconera SA High-Design Slide Mar-Nog/Nog Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Nog/Nog Pres.;;;5.8
510.486.063;Hoja balconera SA High-Design Slide Bco-Bco/Nog Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Nog Pres.;;;5.8
510.486.064;Hoja balconera SA High-Design Slide Bco-Nog/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Nog/Bco Pres.;;;5.8
510.486.070;Hoja balconera SA High-Design Slide Mar-Ant L/Ant L Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Ant L/Ant L Pres.;;;5.8
510.486.071;Hoja balconera SA High-Design Slide Bco-Bco/Ant L Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Ant L Pres.;;;5.8
510.486.072;Hoja balconera SA High-Design Slide Bco-Ant L/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Ant L/Bco Pres.;;;5.8
510.486.059;Hoja balconera SA High-Design Slide Mar-B.Brow/B.Brow Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-B.Brow/B.Brow Pres.;;;5.8
510.486.060;Hoja balconera SA High-Design Slide Bco-Bco/B.Brow Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/B.Brow Pres.;;;5.8
510.486.061;Hoja balconera SA High-Design Slide Bco-B.Brow/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-B.Brow/Bco Pres.;;;5.8
510.486.085;Hoja balconera SA High-Design Slide Mar-Win/Win Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Win/Win Pres.;;;5.8
510.486.057;Hoja balconera SA High-Design Slide Bco-Bco/Win Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Win Pres.;;;5.8
510.486.058;Hoja balconera SA High-Design Slide Bco-Win/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Win/Bco Pres.;;;5.8
510.486.019;Hoja balconera SA High-Design Slide Mar-Mon/Mon Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Mon/Mon Pres.;;;5.8
510.486.017;Hoja balconera SA High-Design Slide Bco-Bco/Mon Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Mon Pres.;;;5.8
510.486.018;Hoja balconera SA High-Design Slide Bco-Mon/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Mon/Bco Pres.;;;5.8
510.486.027;Hoja balconera SA High-Design Slide Mar-Negro M./Negro M. Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Negro M./Negro M. Pres.;;;5.8
510.486.028;Hoja balconera SA High-Design Slide Bco-Bco/Negro M. Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Negro M. Pres.;;;5.8
510.486.029;Hoja balconera SA High-Design Slide Bco-Negro M./Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Negro M./Bco Pres.;;;5.8
510.486.036;Hoja balconera SA High-Design Slide Mar-Turn/Turn Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Turn/Turn Pres.;;;5.8
510.486.037;Hoja balconera SA High-Design Slide Bco-Bco/Turn Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Turn Pres.;;;5.8
510.486.038;Hoja balconera SA High-Design Slide Bco-Turn/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Turn/Bco Pres.;;;5.8
510.486.039;Hoja balconera SA High-Design Slide Bco-Sheff A./Sheff A. Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Sheff A./Sheff A. Pres.;;;5.8
510.486.034;Hoja balconera SA High-Design Slide Bco-Bco/Sheff A. Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Sheff A. Pres.;;;5.8
510.486.035;Hoja balconera SA High-Design Slide Bco-Sheff A./Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Sheff A./Bco Pres.;;;5.8
510.486.043;Hoja balconera SA High-Design Slide Mar-Hab/Hab Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Hab/Hab Pres.;;;5.8
510.486.047;Hoja balconera SA High-Design Slide Bco-Bco/Hab Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Hab Pres.;;;5.8
510.486.048;Hoja balconera SA High-Design Slide Bco-Hab/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Hab/Bco Pres.;;;5.8
510.486.042;Hoja balconera SA High-Design Slide Mar-Tit/Tit Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Tit/Tit Pres.;;;5.8
510.486.044;Hoja balconera SA High-Design Slide Bco-Bco/Tit Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Tit Pres.;;;5.8
510.486.045;Hoja balconera SA High-Design Slide Bco-Tit/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Tit/Bco Pres.;;;5.8
510.486.129;Hoja balconera SA High-Design Slide Mar-Ant M/Ant M Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Ant M/Ant M Pres.;;;5.8
510.486.130;Hoja balconera SA High-Design Slide Bco-Bco/Ant M Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Ant M Pres.;;;5.8
510.486.132;Hoja balconera SA High-Design Slide Bco-Ant M/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Ant M/Bco Pres.;;;5.8
510.486.133;Hoja balconera SA High-Design Slide Mar-Black S/Black S Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Black S/Black S Pres.;;;5.8
510.486.134;Hoja balconera SA High-Design Slide Bco-Bco/Black S Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Black S Pres.;;;5.8
510.486.135;Hoja balconera SA High-Design Slide Bco-Black S/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Black S/Bco Pres.;;;5.8
510.486.122;Hoja balconera SA High-Design Slide Mar-Nut/Nut Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Nut/Nut Pres.;;;5.8
510.486.123;Hoja balconera SA High-Design Slide Bco-Bco/Nut Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Nut Pres.;;;5.8
510.486.124;Hoja balconera SA High-Design Slide Bco-Nut/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Nut/Bco Pres.;;;5.8
510.486.125;Hoja balconera SA High-Design Slide Mar-Qrz/Qrz Pres. 5,8 m.;Hoja balconera SA High-Design Slide Mar-Qrz/Qrz Pres.;;;5.8
510.486.127;Hoja balconera SA High-Design Slide Bco-Bco/Qrz Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Bco/Qrz Pres.;;;5.8
510.486.128;Hoja balconera SA High-Design Slide Bco-Qrz/Bco Pres. 5,8 m.;Hoja balconera SA High-Design Slide Bco-Qrz/Bco Pres.;;;5.8
510.063.159;Remate central 2 Euro-Design Slide Bco-Negro M. Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Negro M.;5.8
510.463.038;Remate central 7 High-Design Slide Mar-Rob Pres. 5,8 m.;Remate central;;High-Design Slide Mar-Rob;5.8
510.063.119;Remate central 2 Euro-Design Slide Bco-Mon Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Mon;5.8
510.063.188;Remate central 2 Euro-Design Slide Bco-Hab Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Hab;5.8
510.063.259;Remate central 2 Euro-Design Slide Bco-Black S Pres. 5,8m.;Remate central;;Euro-Design Slide Bco-Black S;5.8
510.063.198;Remate central 2 Euro-Design Slide Bco-B.Brow Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-B.Brow;5.8
510.063.257;Remate central 2 Euro-Design Slide Bco-Ant M Pres. 5,8m.;Remate central;;Euro-Design Slide Bco-Ant M;5.8
510.063.210;Remate central 2 Euro-Design Slide Bco-Ant L Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Ant L;5.8
500.724.001;Remate central 1 EX Exelis Slide Blanco Pres. 5,8 m.- PRECIO NETO;Remate central;;EX Exelis Slide Blanco;5.8
510.463.034;Remate central 7 High-Design Slide Mar-Win Pres. 5,8 m.;Remate central;;High-Design Slide Mar-Win;5.8
510.053.649;Remate central 1 Euro-Design Slide Mar-Win Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Win;5.8
510.463.015;Remate central 7 High-Design Slide Mar-Mon Pres. 5,8 m.;Remate central;;High-Design Slide Mar-Mon;5.8
510.053.016;Remate central 1 Euro-Design Slide Mar-Tit Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Tit;5.8
510.463.020;Remate central 7 High-Design Slide Mar-Negro M. Pres. 5,8 m.;Remate central;;High-Design Slide Mar-Negro M.;5.8
510.053.080;Remate central 1 Euro-Design Slide Mar-Rob Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Rob;5.8
510.053.044;Remate central 1 Euro-Design Slide Mar-Nog Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Nog;5.8
510.053.005;Remate central 1 Euro-Design Slide Mar-Negro M. Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Negro M.;5.8
510.053.002;Remate central 1 Euro-Design Slide Mar-Mon Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Mon;5.8
510.463.029;Remate central 7 High-Design Slide Mar-Hab Pres. 5,8 m.;Remate central;;High-Design Slide Mar-Hab;5.8
510.053.015;Remate central 1 Euro-Design Slide Mar-Hab Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Hab;5.8
510.463.028;Remate central 7 High-Design Slide Mar-Tit Pres. 5,8 m.;Remate central;;High-Design Slide Mar-Tit;5.8
510.053.037;Remate central 1 Euro-Design Slide Mar-B.Brow Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-B.Brow;5.8
510.463.063;Remate central 7 High Design Slide Mar-Ant M Pres. 5,8 m.;Remate central;;High Design Slide Mar-Ant M;5.8
510.463.064;Remate central 7 High Design Slide Bco-Ant M Pres. 5,8 m.;Remate central;;High Design Slide Bco-Ant M;5.8
510.463.065;Remate central 7 High Design Slide Mar-Black S Pres. 5,8 m.;Remate central;;High Design Slide Mar-Black S;5.8
510.463.068;Remate central 7 High Design Slide Bco-Black S Pres. 5,8 m.;Remate central;;High Design Slide Bco-Black S;5.8
510.463.058;Remate central 7 High Design Slide Mar-Nut Pres. 5,8 m.;Remate central;;High Design Slide Mar-Nut;5.8
510.463.060;Remate central 7 High Design Slide Bco-Nut Pres. 5,8 m.;Remate central;;High Design Slide Bco-Nut;5.8
510.463.061;Remate central 7 High Design Slide Mar-Qrz Pres. 5,8 m.;Remate central;;High Design Slide Mar-Qrz;5.8
510.463.062;Remate central 7 High Design Slide Bco-Qrz Pres. 5,8 m.;Remate central;;High Design Slide Bco-Qrz;5.8
510.053.063;Remate central 1 Euro-Design Slide Mar-Ant L Pres. 5,8 m.;Remate central;;Euro-Design Slide Mar-Ant L;5.8
500.053.100;Remate central 1 Euro-Design Slide Blanco Pres. 5,8 m.;Remate central;;Euro-Design Slide Blanco;5.8
510.053.033;Remate central 1 Euro-Design Slide Bco-Win Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Win;5.8
510.053.017;Remate central 1 Euro-Design Slide Bco-Tit Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Tit;5.8
510.053.060;Remate central 1 Euro-Design Slide Bco-Rob Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Rob;5.8
510.053.087;Remate central 1 Euro-Design Slide Bco-Qrz Pres. 5,8m.;Remate central;;Euro-Design Slide Bco-Qrz;5.8
510.053.084;Remate central 1 Euro-Design Slide Bco-Nut Pres. 5,8m.;Remate central;;Euro-Design Slide Bco-Nut;5.8
510.053.048;Remate central 1 Euro-Design Slide Bco-Nog Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Nog;5.8
510.053.008;Remate central 1 Euro-Design Slide Bco-Negro M. Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Negro M.;5.8
510.053.001;Remate central 1 Euro-Design Slide Bco-Mon Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Mon;5.8
510.053.018;Remate central 1 Euro-Design Slide Bco-Hab Pres. 5,8 m.;Remate central;;Euro-Design Slide Bco-Hab;5.8
510.053.091;Remate central 1 Euro-Design Slide Bco-Black S Pres. 5,8m.;Remate central;;Euro-Design Slide Bco-Black S;5.8
571.213.080;Tapa remate central 7 High Design Slide Bco-Ant M Pres. 6 m.;Tapa remate central;;High Design Slide Bco-Ant M;6
571.213.081;Tapa remate central 7 High Design Slide Bco-Black S Pres. 6 m.;Tapa remate central;;High Design Slide Bco-Black S;6
571.213.078;Tapa remate central 7 High Design Slide Bco-Nut Pres. 6 m.;Tapa remate central;;High Design Slide Bco-Nut;6
571.213.079;Tapa remate central 7 High Design Slide Bco-Qrz Pres. 6 m.;Tapa remate central;;High Design Slide Bco-Qrz;6
320.084.001;Pieza estanqueidad 62 para marco 2 SA - 3 SA  High-Design Slide Blanco Pres. 200 u.;Pieza estanqueidad;;para marco 2 SA - 3 SA  High-Design Slide Blanco;
320.084.003;Pieza estanqueidad 62 para marco 2 SA - 3 SA  High-Design Slide Marron Pres. 200 u.;Pieza estanqueidad;;para marco 2 SA - 3 SA  High-Design Slide Marron;
320.084.005;Pieza estanqueidad 62 para marco 2 SA - 3 SA  High-Design Slide Negro Pres. 200 u.;Pieza estanqueidad;;para marco 2 SA - 3 SA  High-Design Slide Negro;
215.248.001;Pieza estanqueidad 62-1 para marco 3 SA High-Design Slide Blanco Pres. 200 u.;Pieza estanqueidad;;para marco 3 SA High-Design Slide Blanco;
215.248.003;Pieza estanqueidad 62-1 para marco 3 SA High-Design Slide Marron Pres. 200 u.;Pieza estanqueidad;;para marco 3 SA High-Design Slide Marron;
215.248.005;Pieza estanqueidad 62-1 para marco 3 SA High-Design Slide Negro Pres. 200 u.;Pieza estanqueidad;;para marco 3 SA High-Design Slide Negro;
320.094.003;Rueda ajustable 4 (Maximo 90 kg por rueda) para hoja balconera SA High-Design Slide Pres. 4 u.;Rueda ajustable;;;
320.078.001;Refuerzo 55x15/2 mm para marco 2 SA - 3 SA High-Design Slide Pres. 5,8 m.;Refuerzo;;mm para marco 2 SA - 3 SA High-Design Slide;2
320.077.001;Refuerzo 52x43x39/2 mm para hoja balconera SA High-Design Slide Pres. 5,8 m.;Refuerzo;;mm para hoja balconera SA High-Design Slide;2
320.098.001;Refuerzo 52x43x39/3 mm para hoja balconera SA High-Design Slide Pres. 5,8 m.;Refuerzo;;mm para hoja balconera SA High-Design Slide;3
536.570.474;Marco PULS SYNEGO Blanco Pres. 6,8 m.;Marco PULS SYNEGO Blanco Pres.;;;6.8
500.966.049;Marco PULS SYNEGO Bco-Rob/Rob Pres. 6,8 m.;Marco PULS SYNEGO Bco-Rob/Rob Pres.;;;6.8
500.966.050;Marco PULS SYNEGO Bco-Bco/Rob Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Rob Pres.;;;6.8
500.966.051;Marco PULS SYNEGO Bco-Rob/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Rob/Bco Pres.;;;6.8
500.966.046;Marco PULS SYNEGO Bco-Nog/Nog Pres. 6,8 m.;Marco PULS SYNEGO Bco-Nog/Nog Pres.;;;6.8
500.966.047;Marco PULS SYNEGO Bco-Bco/Nog Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Nog Pres.;;;6.8
500.966.048;Marco PULS SYNEGO Bco-Nog/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Nog/Bco Pres.;;;6.8
500.966.055;Marco PULS SYNEGO Bco-Ant L/Ant L Pres. 6,8 m.;Marco PULS SYNEGO Bco-Ant L/Ant L Pres.;;;6.8
500.966.056;Marco PULS SYNEGO Bco-Bco/Ant L Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Ant L Pres.;;;6.8
500.966.057;Marco PULS SYNEGO Bco-Ant L/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Ant L/Bco Pres.;;;6.8
500.966.052;Marco PULS SYNEGO Bco-B.Brow/B.Brow Pres. 6,8 m.;Marco PULS SYNEGO Bco-B.Brow/B.Brow Pres.;;;6.8
500.966.053;Marco PULS SYNEGO Bco-Bco/B.Brow Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/B.Brow Pres.;;;6.8
500.966.054;Marco PULS SYNEGO Bco-B.Brow/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-B.Brow/Bco Pres.;;;6.8
500.966.043;Marco PULS SYNEGO Bco-Win/Win Pres. 6,8 m.;Marco PULS SYNEGO Bco-Win/Win Pres.;;;6.8
500.966.044;Marco PULS SYNEGO Bco-Bco/Win Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Win Pres.;;;6.8
500.966.045;Marco PULS SYNEGO Bco-Win/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Win/Bco Pres.;;;6.8
500.966.009;Marco PULS SYNEGO Bco-Mon/Mon Pres. 6,8 m.;Marco PULS SYNEGO Bco-Mon/Mon Pres.;;;6.8
500.966.025;Marco PULS SYNEGO Bco-Bco/Mon Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Mon Pres.;;;6.8
500.966.040;Marco PULS SYNEGO Bco-Mon/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Mon/Bco Pres.;;;6.8
500.966.010;Marco PULS SYNEGO Bco-Negro M./Negro M. Pres. 6,8 m.;Marco PULS SYNEGO Bco-Negro M./Negro M. Pres.;;;6.8
500.966.024;Marco PULS SYNEGO Bco-Bco/Negro M. Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Negro M. Pres.;;;6.8
500.966.037;Marco PULS SYNEGO Bco-Negro M./Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Negro M./Bco Pres.;;;6.8
500.966.014;Marco PULS SYNEGO Bco-Turn/Turn Pres. 6,8 m.;Marco PULS SYNEGO Bco-Turn/Turn Pres.;;;6.8
500.966.027;Marco PULS SYNEGO Bco-Bco/Turn Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Turn Pres.;;;6.8
500.966.039;Marco PULS SYNEGO Bco-Turn/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Turn/Bco Pres.;;;6.8
500.966.011;Marco PULS SYNEGO Bco-Scheff A./Scheff A. Pres. 6,8 m.;Marco PULS SYNEGO Bco-Scheff A./Scheff A. Pres.;;;6.8
500.966.026;Marco PULS SYNEGO Bco-Bco/Scheff A. Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Scheff A. Pres.;;;6.8
500.966.038;Marco PULS SYNEGO Bco-Scheff A./Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Scheff A./Bco Pres.;;;6.8
500.966.012;Marco PULS SYNEGO Bco-Hab/Hab Pres. 6,8 m.;Marco PULS SYNEGO Bco-Hab/Hab Pres.;;;6.8
500.966.029;Marco PULS SYNEGO Bco-Bco/Hab Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Hab Pres.;;;6.8
500.966.041;Marco PULS SYNEGO Bco-Hab/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Hab/Bco Pres.;;;6.8
500.966.013;Marco PULS SYNEGO Bco-Tit/Tit Pres. 6,8 m.;Marco PULS SYNEGO Bco-Tit/Tit Pres.;;;6.8
500.966.028;Marco PULS SYNEGO Bco-Bco/Tit Pres. 6,8 m.;Marco PULS SYNEGO Bco-Bco/Tit Pres.;;;6.8
500.966.042;Marco PULS SYNEGO Bco-Tit/Bco Pres. 6,8 m.;Marco PULS SYNEGO Bco-Tit/Bco Pres.;;;6.8
500.966.065;Marco Plus Synego HST Bco - Ant M/Ant M. x 6,8 m;Marco Plus Synego HST Bco - Ant M/Ant M. x;;;6.8
500.966.066;Marco Plus Synego HST Bco-Bco/Ant M  x 6,8 m;Marco Plus Synego HST Bco-Bco/Ant M  x;;;6.8
500.966.067;Marco Plus Synego HST Bco-Ant M/Bco  x 6,8 m;Marco Plus Synego HST Bco-Ant M/Bco  x;;;6.8
